<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.22	946.570	960.830	946.570	955.970	4532	0	1560
2018.06.25	955.370	958.070	937.740	941.510	4922	0	1280
2018.06.26	936.530	962.880	931.460	958.870	6535	0	580
2018.06.27	958.070	962.670	941.320	949.920	5287	0	1270
2018.06.28	949.920	949.920	949.920	949.920	1	0	1630
2018.06.29	949.920	949.920	949.920	949.920	1	0	1630
2018.07.02	950.170	956.170	936.930	945.420	5218	0	1220
2018.07.03	945.220	954.040	939.680	939.780	4654	0	1020
2018.07.04	941.810	952.280	941.020	949.990	2038	0	1510
2018.07.05	949.020	951.120	939.980	948.760	4549	0	960
2018.07.06	947.120	953.570	940.140	951.570	5283	0	990
2018.07.09	953.120	967.990	952.310	958.400	4426	0	1280
2018.07.10	958.520	960.820	939.560	942.070	4296	0	1540
2018.07.11	940.220	943.370	933.970	936.650	6084	0	830
2018.07.12	935.920	954.180	935.620	949.000	5377	0	440
2018.07.13	950.020	950.720	936.280	937.410	4338	0	260
2018.07.16	937.420	943.980	916.240	918.160	4367	0	910
2018.07.17	917.570	928.960	906.930	911.470	5208	0	1580
2018.07.18	911.770	915.120	905.710	907.260	4829	0	1140
2018.07.19	906.620	910.020	859.130	870.900	8448	0	1250
2018.07.20	870.420	898.280	869.520	893.680	9610	0	1320
2018.07.23	880.870	914.030	880.870	912.940	7995	0	1390
2018.07.24	912.720	926.420	905.520	912.480	7642	0	1470
2018.07.25	910.870	940.940	910.870	938.420	7490	0	1160
2018.07.26	935.130	941.790	924.420	927.490	6246	0	1080
2018.07.27	925.170	935.420	918.560	925.140	5533	0	750
2018.07.30	924.510	934.350	921.740	928.180	5042	0	1580
2018.07.31	927.620	939.500	924.940	933.370	5656	0	1590
2018.08.01	928.920	933.620	912.190	917.790	6682	0	1060
2018.08.02	916.020	925.290	908.220	913.080	6554	0	980
2018.08.03	912.870	924.120	909.670	911.520	6071	0	1530
2018.08.06	909.970	916.570	902.850	904.820	5787	0	1270
2018.08.07	905.270	922.260	904.370	907.470	5497	0	1520
2018.08.08	907.370	913.170	891.220	898.720	6756	0	1150
2018.08.09	900.070	908.100	893.100	905.960	5807	0	930
2018.08.10	902.990	912.420	897.790	907.600	7111	0	2110
2018.08.13	909.170	909.770	885.180	891.440	12010	0	1150
2018.08.14	890.470	899.130	884.870	897.540	8752	0	320
2018.08.15	895.770	896.770	833.610	842.170	14459	0	1020
2018.08.16	840.620	903.230	830.270	882.330	15806	0	3640
2018.08.17	883.870	901.180	882.330	884.530	3097	0	5740
2018.08.20	917.830	923.430	906.630	912.170	9471	0	540
2018.08.21	910.470	918.730	908.370	910.720	13883	0	140
2018.08.22	910.020	925.980	908.530	923.420	14354	0	190
2018.08.23	923.290	924.220	910.380	912.120	9723	0	2910
2018.08.24	912.120	939.980	909.170	931.420	10491	0	2830
2018.08.27	935.670	947.430	930.830	946.570	8052	0	5740
2018.08.28	945.970	952.230	935.630	937.270	7339	0	4540
2018.08.29	940.670	964.830	937.970	961.570	7574	0	2840
2018.08.30	958.970	980.730	951.930	965.570	12408	0	3740
2018.08.31	964.270	983.630	964.270	976.120	9166	0	2860
2018.09.03	977.970	984.230	974.470	980.030	4438	0	4740
2018.09.04	979.570	988.230	954.130	980.070	11188	0	2740
2018.09.05	980.070	988.530	967.030	971.170	9520	0	2070
2018.09.06	971.670	987.630	969.320	973.770	10010	0	2740
2018.09.07	973.270	989.230	969.630	976.870	11140	0	3740
2018.09.10	976.970	990.430	973.630	975.670	8176	0	3490
2018.09.11	975.270	983.330	966.730	972.790	8422	0	3640
2018.09.12	976.870	980.230	969.030	974.970	8589	0	2940
2018.09.13	971.670	982.330	969.520	980.170	10018	0	3570
2018.09.14	981.570	987.130	974.630	976.670	9351	0	3260
2018.09.17	975.540	988.030	974.270	986.870	5818	0	3740
2018.09.18	986.170	1014.030	982.370	1009.370	6705	0	3740
2018.09.19	1010.770	1041.030	1010.140	1035.370	6057	0	3640
2018.09.20	1037.470	1055.630	1033.070	1051.670	6383	0	3190
2018.09.21	1049.670	1057.560	1035.730	1051.470	6927	0	2750
2018.09.24	1044.070	1061.630	1043.170	1059.370	4787	0	3360
2018.09.25	1060.570	1067.630	1051.430	1060.370	5519	0	2740
2018.09.26	1060.370	1074.630	1057.230	1067.070	6925	0	3470
2018.09.27	1069.570	1083.970	1059.730	1081.270	4524	0	2770
2018.09.28	1081.470	1093.460	1071.770	1071.970	6954	0	3090
2018.10.01	1069.370	1075.170	1046.630	1056.790	7454	0	790
2018.10.02	1057.470	1067.620	1041.230	1052.430	8775	0	2710
2018.10.03	1055.970	1067.270	1047.830	1058.410	7719	0	2120
2018.10.04	1057.370	1066.070	1050.470	1055.940	8323	0	760
2018.10.05	1055.370	1077.940	1052.730	1070.730	7665	0	780
2018.10.08	1068.270	1077.930	1057.780	1074.850	8305	0	1470
2018.10.09	1075.570	1084.630	1065.890	1070.820	6898	0	2540
2018.10.10	1069.570	1080.680	1062.100	1065.480	6468	0	2080
2018.10.11	1068.940	1097.800	1065.080	1079.300	16634	0	860
2018.10.12	1078.390	1089.970	1065.940	1066.410	16347	0	850
2018.10.15	1065.270	1090.140	1065.270	1083.920	12188	0	500
2018.10.16	1082.770	1089.770	1075.550	1077.650	11698	0	810
2018.10.17	1077.830	1083.960	1070.830	1070.830	13178	0	260
2018.10.18	1070.980	1080.010	1066.060	1070.920	5851	0	510
2018.10.19	1071.220	1090.080	1071.220	1080.220	5487	0	2830
2018.10.22	1082.620	1123.270	1082.120	1119.870	5800	0	2410
2018.10.23	1119.970	1147.420	1116.430	1138.550	3704	0	2470
2018.10.24	1139.050	1141.630	1122.680	1122.680	8150	0	1340
2018.10.25	1124.970	1125.870	1099.270	1099.870	8029	0	2700
2018.10.26	1100.350	1107.130	1079.030	1102.070	7823	0	3140
2018.10.29	1101.670	1119.730	1087.380	1088.650	5211	0	2490
2018.10.30	1087.150	1097.870	1067.630	1074.000	5847	0	2560
2018.10.31	1074.250	1087.330	1069.100	1077.870	4674	0	2350
2018.11.01	1074.350	1100.930	1074.250	1092.470	6206	0	2000
2018.11.02	1092.650	1123.730	1091.570	1115.560	6390	0	2310
2018.11.05	1114.050	1138.250	1110.570	1133.830	7779	0	1530
2018.11.06	1131.650	1133.750	1101.330	1114.820	5812	0	2160
2018.11.07	1113.650	1138.450	1109.650	1133.380	6112	0	1900
